date,dir,entry_time,pnl
2023-07-18,long,10:51,774.2
2023-07-20,short,10:43,-49.64
2023-07-25,long,11:46,266.08
2023-08-02,short,10:53,-186.86
2023-08-04,short,10:12,506.7
2023-08-09,short,11:05,253.76
2023-08-11,long,10:23,-285.3
2023-08-14,long,10:21,559.84
2023-08-15,short,10:14,108.0
2023-08-17,short,10:42,697.6
2023-08-22,short,10:40,123.88
2023-08-24,short,10:33,661.6
2023-08-29,long,10:10,862.0
2023-08-30,long,10:04,-399.6
2023-09-19,short,10:11,-357.6
2023-09-26,short,10:19,-359.35
2023-09-28,long,10:09,338.78
2023-10-10,long,10:12,-87.9
2023-10-16,long,10:36,-234.92
2023-10-17,long,10:22,105.68
2023-10-19,short,10:37,428.7
2023-10-26,short,10:09,212.28
2023-11-07,long,10:38,-366.6
2023-11-10,long,11:23,859.5
2023-11-13,long,11:33,-424.2
2023-11-20,long,11:07,597.58
2023-11-28,long,10:51,-320.23
2023-11-29,short,11:18,-231.48
2023-12-29,short,10:55,-390.6
2024-01-05,long,10:11,-358.0
2024-01-08,long,10:39,914.5
2024-01-09,long,11:33,126.14
2024-02-12,long,11:27,-420.6
2024-02-22,long,09:57,524.92
2024-02-29,short,11:47,-363.0
2024-03-07,long,10:51,-387.6
2024-03-08,long,10:04,-348.4
2024-03-19,long,11:39,859.5
2024-04-11,short,10:16,-370.5
2024-04-15,short,10:18,889.5
2024-04-17,short,10:20,814.5
2024-04-24,short,11:11,-117.1
2024-05-02,short,10:10,-424.4
2024-05-08,long,10:32,-427.7
2024-05-09,long,10:47,536.62
2024-05-16,long,11:06,-423.8
2024-05-23,short,10:00,874.5
2024-05-24,long,11:06,-453.6
2024-05-31,short,10:22,-420.6
2024-06-03,short,10:57,-381.3
2024-06-05,long,11:24,1053.36
2024-06-13,short,10:32,-416.8
2024-06-17,long,11:13,1329.3
2024-06-24,long,10:06,-448.0
2024-06-26,long,12:00,91.12
2024-06-28,long,10:11,-476.8
2024-07-01,short,10:20,-461.0
2024-07-05,long,11:51,605.6
2024-07-15,long,11:10,-413.7
2024-07-25,short,10:11,-435.5
2024-08-01,short,10:26,623.6
2024-08-02,short,10:14,-436.4
2024-08-06,long,10:02,-164.01
2024-08-15,long,11:12,620.58
2024-08-21,long,10:46,-451.2
2024-08-22,short,10:19,631.6
2024-08-27,long,10:33,-434.7
2024-09-10,short,10:20,-430.5
2024-09-26,short,11:00,-375.5
2024-10-08,long,10:52,622.87
2024-10-09,long,11:08,623.6
2024-10-11,long,10:16,125.43
2024-10-15,short,10:38,171.99
2024-10-23,short,11:21,-437.4
2024-10-24,short,11:56,-420.7
2024-10-25,long,10:10,-402.4
2024-11-01,long,10:21,-435.3
2024-11-06,short,09:57,-384.4
2024-11-12,short,11:47,-380.5
2024-11-18,long,10:39,63.48
2024-11-20,short,10:14,-368.4
2024-11-29,long,10:19,616.07
2024-12-19,short,10:11,635.6
2024-12-26,long,11:46,200.2
2024-12-27,short,10:10,-396.6
2025-01-07,short,10:10,635.6
2025-01-28,long,10:32,413.7
2025-01-31,long,10:39,-433.0
2025-02-11,long,10:54,-242.22
2025-02-19,long,11:51,701.15
2025-02-20,short,10:02,-444.6
2025-02-24,short,10:02,-74.06
2025-02-27,short,10:02,834.5
2025-02-28,long,10:34,398.7
2025-03-06,long,10:15,-452.4
2025-03-13,short,10:01,575.6
2025-03-20,long,10:06,-456.4
2025-03-28,short,10:14,804.5
2025-04-01,short,10:20,-425.5
2025-04-04,short,10:20,559.6
2025-04-16,short,10:02,774.5
2025-04-21,short,10:06,548.83
2025-04-24,long,10:06,495.6
2025-05-09,short,10:32,-439.2
2025-05-19,long,10:10,822.06
2025-06-12,long,10:24,205.69
2025-06-16,long,10:03,-526.0
2025-06-23,long,10:09,1199.8
2025-06-27,long,10:10,-4.35
2025-07-02,long,10:38,1093.3
2025-07-10,long,11:36,277.3
2025-08-05,short,10:25,532.72
2025-08-07,short,10:21,903.77
2025-08-14,long,10:40,-255.74
2025-08-20,short,09:59,-637.7
2025-08-22,long,10:09,186.16
2025-08-29,short,10:05,-624.8
2025-09-22,long,10:37,1175.3
2025-10-01,long,11:40,1112.3
2025-10-02,short,11:04,-672.1
2025-10-08,long,10:18,1212.95
2025-10-10,short,11:07,1098.3
2025-10-14,long,10:26,827.4
2025-11-06,short,10:08,1506.15
2025-11-18,short,10:01,-780.6
2025-11-19,long,10:02,-695.5
2025-11-24,long,10:50,746.74
2025-11-26,long,11:14,-615.63
2025-12-02,short,11:32,-721.7
2025-12-05,long,10:12,-711.9
2025-12-11,short,09:59,-672.7
2025-12-12,short,10:15,1063.3
2025-12-18,long,10:46,-660.6
2025-12-31,short,11:03,710.5
2026-01-02,short,10:30,-741.0
2026-01-06,long,10:08,1945.95
2026-01-12,long,11:22,990.0
2026-01-20,long,10:39,-792.8
2026-01-21,long,10:06,791.4
2026-01-27,long,10:45,-496.27
2026-02-03,short,10:07,1691.1
2026-02-13,long,10:39,-824.8
2026-02-17,short,10:04,-824.8
2026-02-18,long,10:09,-714.7
2026-02-23,short,10:13,986.3
2026-02-26,short,10:22,-792.8
2026-03-02,long,10:11,263.98
2026-03-04,long,10:28,-735.7
2026-03-05,short,10:38,-686.7
2026-03-13,short,10:51,1084.3
2026-03-23,long,10:25,-678.6
2026-03-24,long,11:01,-749.7
2026-04-02,long,10:02,609.5
2026-04-07,short,10:09,-660.6
2026-04-09,long,11:42,2044.9
2026-04-21,short,11:08,1502.1
2026-04-24,long,11:54,-190.4
2026-05-01,long,10:08,-824.8
2026-05-06,long,10:42,1749.0
2026-05-14,long,10:54,384.3
2026-05-28,long,10:22,1439.1
2026-06-02,long,10:56,-285.45
2026-06-12,long,11:05,-711.73
2026-06-15,long,11:30,-875.9
2026-06-22,short,10:39,-829.2
2026-06-23,long,09:57,-718.8
2026-06-25,short,09:55,-780.6
